Transaction ID,Order ID,Date,
MFIT55156,55156,20/05/2017 19:52:28,
MFIT55154,55154,20/05/2017 19:41:04,
MFIT55151,55151,20/05/2017 19:09:08,
FIT55145,55145,20/05/2017 17:51:40,
FIT55138,55138,20/05/2017 16:27:53,
FIT55134,55134,20/05/2017 15:55:09,
MFIT55125,55125,20/05/2017 15:29:00,
FIT55123,55123,20/05/2017 14:52:56,
FIT55033,55033,20/05/2017 14:51:12,
FIT55030,55030,20/05/2017 13:37:41,
FIT55120,55120,20/05/2017 13:19:29,
FIT55116,55116,20/05/2017 12:52:19,
MFIT55110,55110,20/05/2017 12:36:29,
MFIT55104,55104,20/05/2017 11:42:37,
FIT55099,55099,20/05/2017 10:59:09,
FIT55098,55098,20/05/2017 10:41:22,
FIT55096,55096,20/05/2017 09:35:04,
FIT55083,55083,20/05/2017 00:59:45,
MFIT55081,55081,19/05/2017 22:19:38,
FIT55078,55078,19/05/2017 21:03:57,
MFIT55077,55077,19/05/2017 20:46:36,
MFIT55074,55074,19/05/2017 20:28:37,
FIT55071,55071,19/05/2017 20:20:48,
MFIT55055,55055,19/05/2017 16:38:08,
Fit55042,55042,19/05/2017 16:09:02,
Fit53610,53610,19/05/2017 13:36:58,
FIT55019,55019,19/05/2017 11:13:43,
FIT55015,55015,19/05/2017 10:12:37,
FIT55013,55013,19/05/2017 08:27:39,
FIT55010,55010,19/05/2017 08:19:41,
MFIT55009,55009,19/05/2017 07:20:31,
FIT55005,55005,19/05/2017 01:26:15,
FIT55003,55003,19/05/2017 01:17:34,
FIT55002,55002,19/05/2017 01:12:35,
MFIT54997,54997,18/05/2017 23:39:10,
FIT54933,54933,18/05/2017 22:40:05,
MFIT54993,54993,18/05/2017 21:07:09,
FIT54992,54992,18/05/2017 20:24:09,
MFIT54990,54990,18/05/2017 19:52:33,
MFIT54985,54985,18/05/2017 19:29:20,
MFIT54984,54984,18/05/2017 19:29:08,
FIT54937,54937,18/05/2017 18:48:42,
FIT54976,54976,18/05/2017 17:41:42,
FIT54966,54966,18/05/2017 17:39:15,
FIT54972,54972,18/05/2017 17:11:49,
FIT54961,54961,18/05/2017 15:53:42,
FIT54929,54929,18/05/2017 13:24:23,
FIT54930,54930,18/05/2017 13:17:23,
FIT54931,54931,18/05/2017 13:14:24,
FIT54927,54927,18/05/2017 13:08:59,
FIT54932,54932,18/05/2017 12:55:59,
FIT54049,54049,18/05/2017 12:54:41,
MFIT54926,54926,18/05/2017 12:41:58,
FIT54922,54922,18/05/2017 11:54:50,
MFIT54907-R1,54907,18/05/2017 10:04:10,
FIT54906,54906,18/05/2017 10:00:32,
FIT54904,54904,18/05/2017 09:54:29,
FIT54902,54902,18/05/2017 09:40:24,
FIT54825,54825,18/05/2017 08:33:21,
MFIT54896,54896,18/05/2017 07:14:30,
FIT54894,54894,18/05/2017 02:05:40,
FIT54883,54883,17/05/2017 23:00:46,
MFIT54879,54879,17/05/2017 22:16:53,
MFIT54878,54878,17/05/2017 21:40:39,
MFIT54877,54877,17/05/2017 21:15:28,
FIT54566,54566,17/05/2017 21:08:52,
FIT54874,54874,17/05/2017 19:42:42,
FIT54873,54873,17/05/2017 19:38:28,
FIT54866,54866,17/05/2017 18:52:08,
FIT54856,54856,17/05/2017 17:39:41,
FIT54743,54743,17/05/2017 17:38:33,
FIT54835,54835,17/05/2017 16:52:07,
Fit54730,54730,17/05/2017 16:03:41,
MFIT54806,54806,17/05/2017 14:58:32,
FIT54780,54780,17/05/2017 11:49:58,
MFIT54777-R1,54777,17/05/2017 10:27:44,
FIT54768,54768,17/05/2017 08:15:13,
MFIT54763,54763,16/05/2017 23:30:15,
MFIT54761,54761,16/05/2017 22:24:21,
FIT54750,54750,16/05/2017 22:06:28,
MFIT54759,54759,16/05/2017 21:02:25,
